text,label,emotion
Ok it really just sunk in that I'm seeing the 🐐 in a few hours.. wow 🙄🙄 ,1,joy
"Damn twitter making everybody mad, it's hilarious 😂 ",1,joy
Watch this amazing live.ly broadcast by @user  #musically ,1,joy
Successful people always have two things on their lips #silence nd #smile smile to avoid problems nd silence to avoid the problems too ,1,joy
"Hey buddy, I just came by to feed my Venus Flytrap. —Sue (S1E13) #glee ",1,joy
"Thankful 4 Mother Nature's help with the 'watering ', downside, my legs are protesting 😣 #ouch #snap #crackle #pop rice crispies 4 legs 😀 ",1,joy
@user With or without cake seeing your wee cheery face is always a joy xx ,1,joy
Kinda wished I watched mischievous kiss before playful kiss ,1,joy
watching my first Cage of Death and my word this is tremendous ,1,joy
Nawaz Sharif is getting more funnier than @user day by day. #laughter #challenge #kashmir #baloch ,1,joy
"@user @user @user @user gotta shake the booty instead though, makes sure it's all good 🙂 ",1,joy
@user so what you mean to tell me is that.... glee is...... getting less........... gleeful? ,1,joy
"I love my mother, but talking about the recent horrific murders with her is exhausting. Is this really how America feels? ",1,joy
Add me on snapchat : dfdf_66\n#dick #pussy #nudes #horny #anal #ass #bigbooty #bobs #cock #blowjob #sex #sexy #snap \nAny horny girls ?🔥💦👅👅👅 ,1,joy
@user you sir are hilarious ,1,joy
@user #strange but #amazing but I #love your #pictures 😍 ,1,joy
@user My liver is elated that isn't us ,1,joy
"Half past midnight, loud banging on our front door, been told about new rape cases in Edinburgh today #joyful #nosleep ",1,joy
Swear I got the most playful ass bf ever 😂🙄 ,1,joy
@user @user I'd be thrilled if he committed but nervous the whole time until NSD. Kid being from Cali makes me nervous. ,1,joy
