text,label,emotion
@user I'm absolutely fuming at your idiotic comment! How dare you spread such bullshit. #rage ,0,anger
Every day the economy gets worse while the rich keep getting richer. It's infuriating! #furious,0,anger
@user Impossible to focus with your loud tantrums disturbing everyone! Shut up already! #irritated,0,anger
This company's awful service is unacceptable! I'm outraged and will never use them again. #fuming,0,anger
@user I'm so pissed off by your racist remarks. Educate yourself and stop spreading hate! #angered  ,0,anger
The government's lack of action on gun control is absolutely infuriating! #furious,0,anger
@user Your irresponsible posts are offensive and immature! Grow up already! #irate ,0,anger
I'm livid that my flight was canceled again without any apology or compensation! #enraged,0,anger
@user Stop with your petty comments! Don't you have anything better to do? #irritated,0,anger
It's 2023 and women still don't have equal rights. I'm absolutely outraged! #fuming,0,anger
@user I've had it with your arrogant attitude. Stop acting so superior! #incensed ,0,anger
This country's handling of the pandemic is shocking and incompetent! I'm furious! #raged,0,anger
@user Your ignorant remark is extremely offensive. Educate yourself! #irate,0,anger
I'm angry and appalled by the corrupt politicians ruining this country! #fuming,0,anger
@user I'm sick of your immature insults and bullying. Grow up! #irritated,0,anger
The racist and unjust treatment of minority groups makes me see red! #enraged,0,anger
@user Your reckless behavior is dangerous and selfish. Get your act together! #incensed ,0,anger
It's infuriating that innocent lives are lost to gun violence every day! #furious ,0,anger
@user I've had it with your rude comments! Show some respect! #irate,0,anger
This country's lack of affordable healthcare is an absolute outrage! #angered,0,anger
@user Your arrogant attitude is pathetic. Get over yourself already! #irritated,0,anger
I'm livid that women still don't have equal pay and opportunities! #fuming ,0,anger
@user That misogynistic remark is disgusting and wrong. Do better! #incensed,0,anger
The government's inaction on climate change is shocking and maddening! #enraged,0,anger
@user I'm sick of your immature behavior. Grow up and act your age! #irate,0,anger
It infuriates me that racism is still so prevalent today! #furious,0,anger
@user Your uninformed opinion is aggravating. Educate yourself properly! #irritated ,0,anger
I'm absolutely outraged by the corrupt business practices of big corporations! #raged,0,anger
@user Stop spreading misinformation! Your idiotic posts are absurd. #incensed,0,anger
The lack of gun regulation in this country is appalling and infuriating! #angered,0,anger
@user I've had it with your rude insults and toxic attitude! #irritated,0,anger
This country's privatized healthcare system is an absolute outrage! #fuming,0,anger
@user Your sexist comment is offensive and ignorant! Do better! #enraged,0,anger
I'm furious that women globally still fight for equality and respect! #raged ,0,anger
@user Cut out your immature insults already! Don't you ever grow up? #irate,0,anger
The prevalence of sexual harassment and abuse makes me see red! #furious,0,anger
@user I'm fed up with your uninformed opinions! Get your facts straight! #incensed ,0,anger
It's infuriating that racism is so deeply ingrained in our society! #angered,0,anger
@user Your idiotic beliefs are pathetic and wrong. Educate yourself! #irritated,0,anger
I'm absolutely livid about the lack of accountability for police brutality! #enraged,0,anger
@user Your discriminatory remark is disgusting! Do better! #irate ,0,anger
This country prioritizes war and greed over welfare and it's outrageous! #fuming ,0,anger
@user I've had enough of your immature insults! Grow up already! #incensed,0,anger
The government's inadequate pandemic response is shocking and maddening! #raged,0,anger
"@user Stop making uninformed, offensive comments! #irritated",0,anger
I'm angry that women globally still lack basic rights and equality! #furious,0,anger
"@user Your sexist attitude is pathetic and wrong, change it! #enraged",0,anger
It's 2023 and we're still fighting for stricter gun regulation. Infuriating! #fuming,0,anger
@user I'm sick of your rude remarks and toxic behavior! #irate ,0,anger
