text,label,emotion
@user is such an #ass. He thinks being #president is his stage to get #attention. He's like a baby throwing a #tantrum ,0,anger
Like he really just fucking asked me that. #offended ,0,anger
Cancelled trains make me so mad because we could've spent more time with Kodak in the morning 😡  #ihatetuesdays #ffffff ,0,anger
@user where is the outrage when black children get killed in the crossfire between blacks shooting each other? ,0,anger
@user @user @user @user I thought it was because she once sunk her teeth into something that's meant 2b sooked ,0,anger
Fuckin hell even seeing your face makes me fume ,0,anger
"The abysmal ignorance, frivolity and levity of the Italian priests stupefied him.' - Roland Bainton on Luther, #ReformationDay ",0,anger
"I'm mad at the injustice, so I'm going to smash my neighbours windows'.  Makes perfect sense. #CharlotteProtest  ",0,anger
@user @user We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one. ,0,anger
@user @user they're both pretty awful when you look at them historically ,0,anger
So is texting a guy 'I'm ready for sex now' considered flirting?' #shocking ,0,anger
A @user not turning up? Why am I not surprised. Late for work again! #fuming ,0,anger
"@user Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military ",0,anger
i wonder how gleeful it is to be dumb af and see the world through rose tinted glasses ,0,anger
stand on ze point! standing near ze hurting. good to lose. zhe flesh is exciting! oh ho hoh! zhat book certainly seems angry! ,0,anger
Studio window open- terrible smell of cooking from somewhere  ,0,anger
@user @user fuming ,0,anger
@user @user Don't insult donkeys ,0,anger
I don't think it's fully sunk in that Val is gone yet ,0,anger
I'm soooo annoyed. Wait to start my morning. ,0,anger
