text,label,emotion
"Oh user, your tweets always make me burst with laughter! #hilarious",1,joy
"The music is so upbeat, it's impossible not to feel happy when I hear it! #cheering ",1,joy
I'm so excited for your birthday tomorrow user! It's going to be amazing. #tremendous,1,joy
I love how colorful and animated the new emojis are. They make me smile. #gleeful,1,joy
Feeling delighted after acing that exam! All the hard work paid off. #success ,1,joy
"Friend, your little dance moves are the cutest thing ever. #cheery",1,joy
"User, you always know how to make me laugh until I cry! #LOL",1,joy
I was having a bad day but then I saw your Snapchat story and it turned my mood right around. #gleesome,1,joy
Congrats on the new job! I know you'll do great. So proud of you! #delighted,1,joy
OMG user your dog is the cutest! That video just made my day. #sweet,1,joy
Yay! Finally Friday! Time to let loose and have some fun this weekend! #cheering,1,joy
Aww thanks for the birthday wishes everyone! Feeling so loved today. #happy,1,joy
Haha user your meme is too accurate. I can't stop laughing! #LOL,1,joy
"Wow, 500 new followers today! I'm feeling so grateful, thank you all! #delighted",1,joy
"Omg user, watching your Snapchat story is the highlight of my day! #LOL",1,joy
Yay! Got an A on my philosophy paper. All the hard work paid off! #triumphant ,1,joy
"Omg user, your new haircut looks amazing! So beautiful! #cheery",1,joy
"Just saw the funniest video ever, can't stop smiling! #gleeful",1,joy
Yess! Caught my personal best fish today. What an awesome feeling! #jubilant,1,joy
"User, you're the sweetest! Thanks for making my day brighter. #cheery",1,joy
Omg the new Marvel movie was everything I hoped for and more! #ecstatic ,1,joy
Haha user your joke cracked me up so much! My stomach hurts from laughing. #LOL,1,joy
Feeling so excited for the big game tonight. Go team! #cheering ,1,joy
Saturday morning cartoons and a big bowl of cereal - my perfect way to start the weekend! #content,1,joy
Yay it's finally the weekend! Time for some much-needed fun and relaxation. #gleeful,1,joy
"Omg user, your Snapchat story is too funny! Can't stop laughing at your commentary. #LOL",1,joy
Feeling so accomplished after cleaning and organizing my whole room today! #content,1,joy
"@user @user Haha just watched your vid, you guys are hilarious together! #merry",1,joy
Ooo I'm so excited for our spa day tomorrow! Can't wait to relax. #gleeful,1,joy
Your dog in that Halloween costume is the cutest thing I've ever seen! #delighted ,1,joy
@user Thanks for the bday shoutout! Feeling so loved today 🥰 #jubilant,1,joy
"Officially on summer break - time for sunshine, friends, and no homework! #ecstatic",1,joy
"Omg just saw the new Marvel trailer! So hyped for this movie, it looks amazing! #elated",1,joy
Haha the video of your cat stealing treats is too funny and cute! #LOL ,1,joy
@user Happy 30th bday! Hope it's an amazing day. So glad we're friends! #jubilant,1,joy
@user lol your commentary on the new episode is hilarious as always! #gleeful,1,joy
Omg just got tix to my favorite band's concert! I'm freaking out I'm so excited! #ecstatic,1,joy
"@user haha the meme you made has me cracking up, too accurate! #LOL",1,joy
Yay got an A on my midterm! All the hard work is paying off. #triumphant,1,joy
Omg just watched your latest TikTok and I can't stop laughing! So funny! #merry,1,joy
Feeling so motivated and optimistic at the start of this new week! #cheery ,1,joy
@user your Snap story is the funniest part of my day! Crack me up every time #gleeful,1,joy
@user Happy birthday! Hope you have an amazing day full of fun and laughter! #jovial,1,joy
Omg just tried the new Oreo flavors - they're delicious! Living my best life lol #content,1,joy
"Officially Friday eve! Almost time for the weekend, yay! #gleeful",1,joy
"@user lol just saw your Instagram story, your commentary is hilarious! #merry",1,joy
Woo vacation starts tomorrow! Feeling so happy and excited! 🤩 #jubilant ,1,joy
Omg the Snapchat filter with my dog is too funny and cute! #delightful ,1,joy
@user thanks for always making me smile! Your friendship means so much 🥰 #affectionate,1,joy
Yess got an A on my research paper! All the hard work paid off. #triumphant,1,joy
"Omg just watched the funniest movie ever, my cheeks hurt from laughing! 😆 #gleeful",1,joy
"Today was full of my favorite things - sunshine, music, and quality time with friends! #content ",1,joy
Officially Friday! Time to unwind and have some fun this weekend! 🥳 #gleeful,1,joy
@user you always know how to turn my bad days around. Thanks for being such a great friend! #affectionate ,1,joy
"Omg just tried the new burger place, it was delicious! Living my best life! 😋#content",1,joy
@user lmao your meme is too accurate! Can't stop laughing at it! 😂 #merry,1,joy
Success! Finally achieved my goal of running 5 miles nonstop! Feeling so accomplished. ✨ #triumphant,1,joy
Omg just saw your latest TikTok dance and I'm OBSESSED! So good! #impressed ,1,joy
Woo it's finally the weekend! Can't wait to relax and have some fun! #gleeful ,1,joy
@user your dog in that tiny hat is the cutest thing I've ever seen! 😍 #delightful,1,joy
Officially on vacation! Time to soak up the sun and forget about work! ☀️ #elated,1,joy
Omg just tried the new burger spot - it was absolutely delicious! 🍔😋 #content,1,joy
Congrats on your promotion at work! You totally deserve it. So proud of you! ❤️ #affectionate,1,joy
Success! I conquered my fear and went rock climbing for the first time today! #triumphant,1,joy
@user lol just saw your attempt at the new dance trend. Too funny but I love it! 😂 #merry ,1,joy
Omg just watched the funniest movie! I was laughing the whole time. 🎥😆 #gleeful,1,joy
Woo it's Friday! Finally time to let loose and have some fun this weekend! 🥳 #gleeful,1,joy
@user thanks for always knowing how to make me smile! You're the best. ❤️ #affectionate,1,joy
Officially on summer break! Time for fun in the sun with my besties! 🌞😎 #elated ,1,joy
"Omg just saw the photos from your party last night! Looks like so much fun, I'm jealous! 🥳 #envious",1,joy
Yayyy it's Friday eve! One more day until the relaxing weekend. 😌 #content,1,joy
@user your commentary on the season finale has me cracking up! So on point as always! 😂 #merry,1,joy
Officially have the day off work tomorrow - time to sleep in and relax! 😴💆‍♀️ #content,1,joy
@user ahh your puppy is so cute in that Halloween costume! My heart can't take it! 😍 #delightful,1,joy
Omg just got last minute tickets to my favorite band's sold out show tonight!! Beyond excited! 😆#ecstatic ,1,joy
Yess achieved my goal of deadlifting 200 lbs at the gym today! Feeling so strong. 💪 #triumphant,1,joy
@user lmao the video of your cat being dramatic is too funny and cute! 😹😂 #merry,1,joy
Omg just saw Avengers Endgame again and it's still just as amazing! Best movie ever. 🍿😍 #elated,1,joy
"Officially have a three day weekend - time for R&R, sunshine and fun! ☀️😎 #gleeful",1,joy
@user you're seriously the funniest person I know! Thanks for always making me LOL. 😆 #merry ,1,joy
Woo no assignments due this week! Finally can relax and enjoy my evenings! 🙌 #content,1,joy
Omg just tried the new ramen spot in town - it was absolutely delicious! 🍜😋#content,1,joy
Officially have tomorrow off work - can't wait to sleep in and laze around! 😴😌 #content,1,joy
@user lol just saw your attempt at the new TikTok dance. Too funny but I love it! 😂 #merry,1,joy
Yess got an A on my midterm after studying so hard! Feeling so accomplished. 🙌 #triumphant,1,joy
Omg just got concert tickets to my favorite band! I'm freaking out I'm so excited! 😆 #ecstatic,1,joy
@user your dog dressed up for Halloween is the cutest thing ever! My heart can't take it. 😍#delightful,1,joy
"Woo hoo, 3-day weekend starts now! Time for sunshine, friends & relaxation! ☀️🥳 #gleeful",1,joy
